,Statement,Link,Date
0,Marcos accepts courtesy resignation of 2 senior police officers,https://www.sunstar.com.ph/article/1960506/manila/local-news/marcos-accepts-courtesy-resignation-of-2-senior-police-officers,"May 05, 2023"
1,"DOH reiterates call for kids to get measles, polio jabs",https://www.sunstar.com.ph/article/1960483/manila/local-news/doh-reiterates-call-for-kids-to-get-measles-polio-jabs,"May 05, 2023"
2,Octa admits positivity rate does not show whole Covid picture,https://www.sunstar.com.ph/article/1960482/manila/local-news/octa-admits-positivity-rate-does-not-show-whole-covid-picture,"May 05, 2023"
3,DMW: Japanese firms ready to employ Sudan OFWs,https://www.sunstar.com.ph/article/1960475/manila/local-news/dmw-japanese-firms-ready-to-employ-sudan-ofws,"May 05, 2023"
4,146 OFWs still in Sudan,https://www.sunstar.com.ph/article/1960474/manila/local-news/146-ofws-still-in-sudan,"May 05, 2023"
5,PH to continue discussions about Malampaya with China,https://www.sunstar.com.ph/article/1960465/manila/local-news/ph-to-continue-discussions-about-malampaya-with-china,"May 05, 2023"
6,Comelec affirms disqualification of Legazpi City mayor,https://www.sunstar.com.ph/article/1960460/manila/local-news/comelec-affirms-disqualification-of-legazpi-city-mayor,"May 05, 2023"
7,"1,090 foreigners, Filipinos rescued from alleged human trafficking operation",https://www.sunstar.com.ph/article/1960459/manila/local-news/1090-foreigners-filipinos-rescued-from-alleged-human-trafficking-operation,"May 05, 2023"
8,Papal Nuncio urges PH Church to put premium on 'missionary outreach' efforts,https://www.sunstar.com.ph/article/1960458/manila/local-news/papal-nuncio-urges-ph-church-to-put-premium-on-missionary-outreach-efforts,"May 05, 2023"
9,Corrective maintenance at NAIA cut short,https://www.sunstar.com.ph/article/1960456/manila/local-news/corrective-maintenance-at-naia-cut-short,"May 05, 2023"
10,Hontiveros mulls immediate gov’t response over series of power outages,https://www.sunstar.com.ph/article/1960454/manila/local-news/hontiveros-mulls-immediate-govt-response-over-series-of-power-outages,"May 05, 2023"
11,Marcos secures $1.3B investment pledges from US trip,https://www.sunstar.com.ph/article/1960442/manila/local-news/marcos-secures-13b-investment-pledges-from-us-trip,"May 05, 2023"
12,"P1,000 polymer banknote wins 2022 Banknote of the Year Award",https://www.sunstar.com.ph/article/1960441/manila/local-news/p1000-polymer-banknote-wins-2022-banknote-of-the-year-award,"May 05, 2023"
13,PH inflation eased to 6.6 percent in April 2023,https://www.sunstar.com.ph/article/1960432/manila/local-news/ph-inflation-eased-to-66-percent-in-april-2023,"May 05, 2023"
14,Marcos mulls reinstatement of GSP program of US to Philippines,https://www.sunstar.com.ph/article/1960361/manila/local-news/marcos-mulls-reinstatement-of-gsp-program-of-us-to-philippines,"May 04, 2023"
15,"Marcos to LGUs, agencies: Support 2023 National Crime Prevention Program",https://www.sunstar.com.ph/article/1960350/manila/local-news/marcos-to-lgus-agencies-support-2023-national-crime-prevention-program,"May 04, 2023"
16,"More American global firms pledge expansion, investment in PH",https://www.sunstar.com.ph/article/1960343/manila/local-news/more-american-global-firms-pledge-expansion-investment-in-ph,"May 04, 2023"
17,"PH to commemorate 125th anniversary of independence, nationhood from 2023-2026",https://www.sunstar.com.ph/article/1960336/manila/local-news/ph-to-commemorate-125th-anniversary-of-independence-nationhood-from-2023-2026,"May 04, 2023"
18,Marcos: PH-US partnerships cover all sectors,https://www.sunstar.com.ph/article/1960254/manila/local-news/marcos-ph-us-partnerships-cover-all-sectors,"May 03, 2023"
19,"US firms to hire 75,000 Filipino seafarers",https://www.sunstar.com.ph/article/1960251/manila/local-news/us-firms-to-hire-75000-filipino-seafarers,"May 03, 2023"
20,Marcos looking into micro nuclear fuel technology to address PH energy woes,https://www.sunstar.com.ph/article/1960250/manila/local-news/marcos-looking-into-micro-nuclear-fuel-technology-to-address-ph-energy-woes,"May 03, 2023"
21,MIAA general manager suspended over grave abuse of authority,https://www.sunstar.com.ph/article/1960249/manila/local-news/miaa-general-manager-suspended-over-grave-abuse-of-authority,"May 03, 2023"
22,"PH, US security cooperation to ‘keep going’ amid WPS tensions",https://www.sunstar.com.ph/article/1960248/manila/local-news/ph-us-security-cooperation-to-keep-going-amid-wps-tensions,"May 03, 2023"
23,Moderna to set up vaccine-making facility in PH,https://www.sunstar.com.ph/article/1960245/manila/local-news/moderna-to-set-up-vaccine-making-facility-in-philippines,"May 03, 2023"
24,"Removal from service, admin raps recommended vs 2 generals, 2 colonels",https://www.sunstar.com.ph/article/1960231/manila/local-news/removal-from-service-admin-raps-recommended-vs-2-generals-2-colonels,"May 03, 2023"
25,A tense week at sea as Philippine coast guard faces China,https://www.sunstar.com.ph/article/1960178/manila/local-news/a-tense-week-at-sea-as-philippine-coast-guard-faces-china,"May 02, 2023"
26,"PNP to intensify campaign vs illegal vape sale, use",https://www.sunstar.com.ph/article/1960160/manila/local-news/pnp-to-intensify-campaign-vs-illegal-vape-sale-use,"May 02, 2023"
27,DOTr: Sabotage not ruled out in May 1 NAIA power outage,https://www.sunstar.com.ph/article/1960153/manila/local-news/dotr-sabotage-not-ruled-out-in-may-1-naia-power-outage,"May 02, 2023"
28,Pagasa issues El Niño alert warning,https://www.sunstar.com.ph/article/1960150/manila/local-news/pagasa-issues-el-nino-alert-warning,"May 02, 2023"
29,PH airspace to be shut down for 6 hours on May 17,https://www.sunstar.com.ph/article/1960134/manila/local-news/ph-airspace-to-be-shut-down-for-6-hours-on-may-17,"May 02, 2023"
30,PH first e-vehicle manufacturing site to be established in Laguna,https://www.sunstar.com.ph/article/1960128/manila/local-news/ph-first-e-vehicle-manufacturing-site-to-be-established-in-laguna,"May 02, 2023"
31,"Marcos, Biden affirm partnerships in range of critical issues",https://www.sunstar.com.ph/article/1960127/manila/local-news/marcos-biden-affirm-partnerships-in-range-of-critical-issues,"May 02, 2023"
32,Groups celebrate Labor Day with protest action,https://www.sunstar.com.ph/article/1960040/manila/local-news/groups-celebrate-labor-day-with-protest-action,"May 01, 2023"
33,Flights to and from Manila canceled due to power outage,https://www.sunstar.com.ph/article/1960039/manila/local-news/flights-to-and-from-manila-canceled-due-to-power-outage,"May 01, 2023"
34,Marcos raises near-crash incident in WPS with China,https://www.sunstar.com.ph/article/1960023/manila/local-news/marcos-raises-near-crash-incident-in-wps-with-china,"May 01, 2023"
35,Marcos flies to US to meet Biden,https://www.sunstar.com.ph/article/1959965/manila/local-news/marcos-flies-to-us-to-meet-biden,"April 30, 2023"
36,Marcos vows to protect welfare of country’s workforce,https://www.sunstar.com.ph/article/1959964/manila/local-news/marcos-vows-to-protect-welfare-of-countrys-workforce,"April 30, 2023"
37,PCG amid near-crash incident in WPS: maritime patrol carried out by PH “non-provocative”,https://www.sunstar.com.ph/article/1959956/manila/local-news/pcg-amid-near-crash-incident-in-wps-maritime-patrol-carried-out-by-ph-non-provocative,"April 30, 2023"
38,17 Pinoys repatriated from Sudan,https://www.sunstar.com.ph/article/1959955/manila/local-news/17-pinoys-repatriated-from-sudan,"April 30, 2023"
39,Migrante calls for justice for 4 OFWs killed in Taiwan fire,https://www.sunstar.com.ph/article/1959898/manila/local-news/migrante-calls-for-justice-for-4-ofws-killed-in-taiwan-fire,"April 29, 2023"
40,"30,000 dengue cases reported in PH for Q1 2023",https://www.sunstar.com.ph/article/1959897/manila/local-news/30000-dengue-cases-reported-in-ph-for-q1-2023,"April 29, 2023"
41,PDEA destroys P4B dangerous drugs in Cavite,https://www.sunstar.com.ph/article/1959833/manila/local-news/pdea-destroys-p4b-dangerous-drugs-in-cavite,"April 28, 2023"
